name,service_type,phone,email,location,url
"Brunson Sayes","cleaning","6892195114","","Orlando, Kissimmee, Winter Park, Altamonte Springs, Apopka, Clermont, Ocoee, Windermere, Celebration, Maitland","https://orlando.craigslist.org/hss/d/orlando-breathe-maids-orlandos-best/7915480427.html"
"","handyman","3217802899","","Orlando, Lake Nona, Kissimmee, Winter Garden, Winter Park, Altamonte Springs, Sanford, Apopka, Clermont, Ocoee, Windermere, Celebration, Dr. Phillips, Casselberry","https://orlando.craigslist.org/hss/d/orlando-wallpaper-installation-murals/7915460380.html"
"","pressure_washing","3219600888","","Orlando","https://orlando.craigslist.org/hss/d/orlando-interior-exterior-painting/7915269608.html"
"Today","painting","4072850628","","Orlando","https://orlando.craigslist.org/hss/d/orlando-wow-painter-walls-50-cents-per/7914885230.html"
"NOW","cleaning","7278316789","","Orlando, Lake Nona, Kissimmee, Sanford, Apopka, Windermere","https://orlando.craigslist.org/hss/d/orlando-houses-cleaning-orlando-call/7914615306.html"
"photos","junk_removal","4073413399","","Orlando, Orange County","https://orlando.craigslist.org/hss/d/orlando-same-day-junk-removal-need-full/7914602365.html"
"","cleaning","4077229582","","","https://orlando.craigslist.org/hss/d/winter-garden-house-cleaning/7914456086.html"
"now","painting","4072355388","","Orlando","https://orlando.craigslist.org/sks/d/painting-exterior-interior-homes/7915909018.html"
"","handyman","7276925114","","","https://orlando.craigslist.org/sks/d/winter-park-security-camera-cable-runs/7915890879.html"
"Handyman","handyman","8138959345","","Orlando","https://orlando.craigslist.org/sks/d/winter-park-mobile-home-bath-vapor/7915794434.html"
"Breaker Panels","electrical","3868474495","","Osceola, Seminole","https://orlando.craigslist.org/sks/d/altamonte-springs-do-you-need-an/7915773112.html"
"GARAGE","electrical","9735088614","","Kissimmee","https://orlando.craigslist.org/sks/d/kissimmee-electrical-servicesaffordable/7915761525.html"
"Andrew","carpet_cleaning","4075096599","","Orlando, Central Florida","https://orlando.craigslist.org/sks/d/orlando-affordable-commercial-and/7915739787.html"
"Today","cleaning","3212331186","","Orlando, Kissimmee, Winter Garden, Winter Park, Altamonte Springs, Sanford, Windermere, Maitland, Casselberry","https://orlando.craigslist.org/sks/d/kissimmee-plumber-done-right-fair-rates/7915735180.html"
"","handyman","3217882799","","Orlando, Kissimmee, Winter Garden, Winter Park, Altamonte Springs, Sanford, Windermere, Maitland, Casselberry","https://orlando.craigslist.org/sks/d/sanford-plumber-electrician-ac-repair/7915733696.html"
"now","carpet_cleaning","8554227738; 4079935667; 8135667464","","Orlando, Daytona","https://orlando.craigslist.org/sks/d/orlando-need-flooring-installation/7915688498.html"
"FOR","electrical","9179525079","","Kissimmee","https://orlando.craigslist.org/sks/d/kissimmee-electricianquality/7915685126.html"
"committed","handyman","4076080784","","Orlando, Central Florida","https://orlando.craigslist.org/sks/d/orlando-ac-service-repair-installations/7915587216.html"
"","handyman","3218003544","","","https://orlando.craigslist.org/sks/d/orlando-garage-door-repair-install-you/7915573332.html"
"","cleaning","3214410430","","Central Florida","https://orlando.craigslist.org/sks/d/windermere-budget-friendly-hoarder-home/7915571252.html"
"","handyman","3213848010","","Orlando, Winter Garden, Winter Park, Apopka, Ocoee, Windermere, Maitland","https://orlando.craigslist.org/sks/d/clermont-garage-door-repair-service/7915542843.html"
"Jose","junk_removal","3214772129","","Central Florida","https://orlando.craigslist.org/lbs/d/winter-springs-reliable-junk-removal/7915876408.html"
"","junk_removal","6156182779","","Orlando","https://orlando.craigslist.org/lbs/d/orlando-same-day-trash-removal-cleanout/7915848962.html"
"CALL","moving_labor","4075193223","","","https://orlando.craigslist.org/lbs/d/orlando-affordable-movers-big-moves-or/7915771342.html"
"Now","junk_removal","4077940171","","Orlando","https://orlando.craigslist.org/lbs/d/winter-park-last-min-move-labor-mover/7915755474.html"
"","junk_removal","4077145525","","Orlando","https://orlando.craigslist.org/lbs/d/orlando-junk-removal-hauling-services/7915715952.html"
"Richard","moving_labor","3214203072","","Orlando, Kissimmee, Sanford, Clermont","https://orlando.craigslist.org/lbs/d/orlando-movers-movers-quality-service/7915713634.html"
"YOUR","pressure_washing","4074943906","","Orlando","https://orlando.craigslist.org/lbs/d/casselberry-pressure-washing-soft/7915689350.html"
"Loading   Unloading","moving_labor","4079007374","","Orlando","https://orlando.craigslist.org/lbs/d/orlando-licensed-insured-local-movers/7915616723.html"
"","junk_removal","4077908332","","Orlando, Windermere, Celebration","https://orlando.craigslist.org/lbs/d/orlando-got-wicked-junk-fast-local/7915579244.html"
"with","junk_removal","2109094982","","Orlando","https://orlando.craigslist.org/lbs/d/orlando-full-service-movers-long/7915533084.html"
"FOR","moving_labor","4074611211","","Central Florida","https://orlando.craigslist.org/lbs/d/orlando-139-hr-man-26-truck-pro-movers/7915526330.html"
"now","junk_removal","4074924563","","Orlando","https://orlando.craigslist.org/lbs/d/davenport-same-day-pickup-hauling/7915526063.html"
"pictures","junk_removal","4079487493","","Orlando, Kissimmee, Clermont, Dr. Phillips","https://orlando.craigslist.org/lbs/d/orlando-cw-junk-removal-demolition/7915508491.html"
"","moving_labor","3862669045","","","https://orlando.craigslist.org/lbs/d/palm-coast-florida-to-new-york-stops/7915507751.html"
"TODAY","moving_labor","4010603956; 4010603955","","Orlando, Kissimmee, Winter Garden, Sanford, Clermont, Ocoee, Windermere, Central Florida","https://orlando.craigslist.org/lbs/d/ocoee-move-it-movers-llc-all-inclusive/7915507211.html"
"other","junk_removal","4079610065; 8328530984","","Orlando, Lake Nona, Kissimmee, Winter Garden, Clermont, Windermere","https://orlando.craigslist.org/lbs/d/winter-garden-junk-removal-trash/7915490305.html"
"out","moving_labor","4074886447","","Orlando, Central Florida","https://orlando.craigslist.org/lbs/d/orlando-stress-free-movers-delivery/7915456915.html"
"","junk_removal","9126162273","","Orlando","https://orlando.craigslist.org/lbs/d/winter-park-need-junk-removal-asap-weve/7915383038.html"
"","junk_removal","8135279775","","Central Florida","https://orlando.craigslist.org/lbs/d/orlando-pickup-delivery-junk-removal/7915102970.html"
"for","moving_labor","3216892650","","Orlando","https://orlando.craigslist.org/lbs/d/orlando-warehouse-moving-services/7914916483.html"
"","moving_labor","4076160500","","Orlando","https://orlando.craigslist.org/lbs/d/orlando-moving-help-delivery-services/7914708438.html"
